address,categories,category_ids,city,description,distance,foursquare_id,hours,id,instagram_url,is_nightlife,last_fsq_refresh,lat,lng,location,name,place_id,popularity,price_level,rating,social_media,state,summary,tips,types,website
"1130 W Sunset Blvd, Los Angeles, CA 90012, USA","Night Club, Bar","10032, 13003",Los Angeles,,,4c11ef6017002d7f2d11e709,"{'tuesday': 'Closed', 'monday': '8:00\u202fPM\u2009–\u200912:00\u202fAM', 'sunday': 'Closed', 'friday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': 'Closed', 'thursday': '8:00\u202fPM\u2009–\u200912:00\u202fAM'}",CS7L9T7IFHzslkAFf6ug,,False,,34.0663707,-118.2498937,"{'lat': None, 'lng': None}",Club Baha,ChIJ1V0kgP_GwoARM9EDnuWIFFo,,2,,{},,A Night Club and Bar in downtown LA.,Baile......!,"night_club, point_of_interest, establishment",
"643 La Cienega Blvd, West Hollywood, CA 90069, USA",Hotel,19014,Los Angeles,,,62be6d10b04537418e8fe817,"{'tuesday': 'Closed', 'monday': 'Closed', 'sunday': 'Closed', 'friday': '10:30\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '10:30\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '10:30\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': 'Closed'}",CZzjbhqU5YfeXGzLGhHc,https://www.instagram.com/zoukla/,False,,34.0833108,-118.3766453,"{'lat': None, 'lng': None}",Zouk Los Angeles,ChIJHdYvUgC_woARfMhJYYZN6wE,,,,{},,A Hotel in downtown LA.,Beautiful hotel space with wonderful views of DTLA.,"night_club, point_of_interest, establishment",
"1542 W Sunset Blvd, Los Angeles, CA 90026, USA","Cocktail Bar, Restaurant","13009, 13065",Los Angeles,,,5d4e746d61835c0008428269,"{'tuesday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'sunday': '12:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '12:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '4:00\u202fPM\u2009–\u20092:00\u202fAM'}",Cgfa7v9RKTRSirOG9R3z,https://www.instagram.com/barflores_la/,False,,34.0763647,-118.2568436,"{'lat': None, 'lng': None}",Bar Flores,ChIJlSiO2YPHwoARUaXxL_wD-Gg,,3,,{},,A Cocktail Bar and Restaurant in downtown LA.,"Amazing cocktails and some of the best tamales I’ve ever had., Amazing bar good drinks amazing ambience good music great date spot, Feels like a mix of Spanish villa and cocktail bar. The michelada was tasty.","bar, point_of_interest, establishment",
"8933 Santa Monica Blvd, West Hollywood, CA 90069, USA",Gay Bar,13011,Los Angeles,,0,5b888d1abcbf7a002c6e7a7d,"{'tuesday': '12:00\u202fPM\u2009–\u200912:00\u202fAM', 'monday': '12:00\u202fPM\u2009–\u200912:00\u202fAM', 'sunday': '12:00\u202fPM\u2009–\u200912:00\u202fAM', 'friday': '12:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '12:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '12:00\u202fPM\u2009–\u200912:00\u202fAM', 'thursday': '12:00\u202fPM\u2009–\u20092:00\u202fAM'}",ChIJ-2jPFoy_woARDEkiTHaBHpc,,False,,34.0845069,-118.3852114,"{'lat': 34.0845069, 'lng': -118.3852114}",Hi Tops Weho,ChIJ-2jPFoy_woARDEkiTHaBHpc,,2,3.9,{},CA,"Convivial gay pub with TVs for sports, trivia nights & a menu of classic bar food with a twist.","Nice bar for a pint & a bite to eat while watching the sports highly recommended, Nice bar for pint & bite to eat while watching the sports highly recommended, Nice bar for a pint & a bite to eat while watching the sports highly recommended by me","bar, point_of_interest, establishment",http://www.hitopsbar.com/
"6101 Reseda Blvd, Tarzana, CA 91335, USA","Music Venue, Bar, Restaurant","13065, 13003, 10039",Los Angeles,,2274,031d208c5eeb4ed63258a022,"{'tuesday': '7:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': 'Closed', 'sunday': 'Closed', 'friday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '9:30\u202fPM\u2009–\u20092:00\u202fAM'}",ChIJ-T04RouZwoARiL8_rWJPOm0,,False,2025-05-12 00:00:26.244709+00:00,34.1809978,-118.5365376,"{'lat': 34.1809978, 'lng': -118.5365376}",VLounge Bar And Night Club,ChIJ-T04RouZwoARiL8_rWJPOm0,,,3.5,{},CA,"A Music Venue, Bar, and more in downtown LA.",,"night_club, bar, point_of_interest, establishment",
"4200 Admiralty Way, Marina Del Rey, CA 90292, USA","Cocktail Bar, American Restaurant","13009, 13068",Los Angeles,,1135,51dadcc450194ec38c05fabc,"{'tuesday': '5:00\u2009–\u200910:00\u202fPM', 'monday': '5:00\u2009–\u200910:00\u202fPM', 'sunday': '5:00\u2009–\u200910:00\u202fPM', 'friday': '5:00\u202fPM\u2009–\u200912:00\u202fAM', 'saturday': '12:00\u2009–\u200910:00\u202fAM, 5:00\u2009–\u200910:00\u202fPM', 'wednesday': '5:00\u2009–\u200910:00\u202fPM', 'thursday': '5:00\u2009–\u200910:00\u202fPM'}",ChIJ-bh-_5m6woARz7eo_76zQbc,,False,2025-05-11 23:42:26.268701+00:00,33.9837487,-118.4572739,"{'lat': 33.9837487, 'lng': -118.4572739}",Marina Grill & Bar,ChIJ-bh-_5m6woARz7eo_76zQbc,,,4.3,{},CA,"Indoor/outdoor hotel eatery provides all-day Californian fare in comfy, contemporary surrounds.","Don't miss back-to-back Happy Hour all week long! 4pm - 8pm and 8pm - 11pm with exclusive E3 $3 Specials!, We are celebrating our first anniversary...and you're invited! Save 20% when you join us for breakfast or dinner tomorrow (6/20)!, Happy Hour is awesome! Solid service and right in hotel","bar, restaurant, food, point_of_interest, establishment",https://hiltongardeninn3.hilton.com/en/hotels/california/hilton-garden-inn-los-angeles-marina-del-rey-LAXDRGI/dining/index.html
"3330 Wilshire Blvd, Los Angeles, CA 90010, USA","Cocktail Bar, Lounge, Restaurant","13016, 13009, 13065",Los Angeles,,0,f1c36c67e6cb49b9a65b7f79,"{'tuesday': 'Closed', 'monday': 'Closed', 'sunday': 'Closed', 'friday': '10:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '10:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': 'Closed', 'thursday': 'Closed'}",ChIJ-d2p7hHHwoARNhybOcI1Nec,,False,,34.0616237,-118.2952219,"{'lat': 34.0616266, 'lng': -118.2952219}",Intercrew,ChIJ-d2p7hHHwoARNhybOcI1Nec,,3,4.4,{},CA,"A Cocktail Bar, Lounge, and more in downtown LA.","Intercrew caters to diverse tastes. Whether you're craving traditional Korean flavors or a taste of home, this neighborhood eatery delivers a satisfying dining experience. They serve cocktails too.","night_club, point_of_interest, establishment",http://www.intercrewla.com/
"3967 Sepulveda Blvd, Culver City, CA 90230, USA","Dive Bar, Lounge, Restaurant","13016, 13065, 13010",Los Angeles,,2221,43b52205f964a520c32c1fe3,"{'tuesday': '2:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': '2:00\u202fPM\u2009–\u20092:00\u202fAM', 'sunday': '2:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '2:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '2:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '2:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '2:00\u202fPM\u2009–\u20092:00\u202fAM'}",ChIJ-d41Nj-6woARz_c1sqYzY_c,https://www.instagram.com/thehighrevival/,False,2025-05-11 23:44:30.622118+00:00,34.0094025,-118.4147021,"{'lat': 34.0094025, 'lng': -118.4147021}",The Cinema Bar,ChIJ-d41Nj-6woARz_c1sqYzY_c,,1,4.4,{},CA,"Stalwart veteran film-inspired hangout offering live music, a patio hang space & drinks.","Tiny bar but, Everybody can still squeeze in and have a seat by the bar. Look for the local Spanish singing band that occasionaly comes in, i forget their name. The ""Gente!, Gente!"" Song! They Rock!👍, Where can I drink a get, on a patio preferably, with a tankfish? Cut a thick slice out of Preservation Hall straight outta N'awlins, via' French Django jazz band that eventually makes fishtank gumbo, Zagat rated this bar the #6 bar in all of LA. Seriously. Come.","bar, point_of_interest, establishment",http://www.thecinemabar.com/
"119 E Colorado Blvd, Pasadena, CA 91105, USA",Mexican Restaurant,13303,Los Angeles,,692,4b0754b4f964a52020fc22e3,"{'tuesday': '8:00\u202fPM\u2009–\u20091:00\u202fAM', 'monday': 'Closed', 'sunday': '8:00\u2009–\u200910:00\u202fPM', 'friday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '8:00\u2009–\u200911:00\u202fPM', 'thursday': '8:00\u202fPM\u2009–\u20091:30\u202fAM'}",ChIJ-zy203HDwoARgNC1NKiPOZM,https://www.instagram.com/ixtapacantina/,False,2025-05-11 23:58:03.092041+00:00,34.1459541,-118.14781,"{'lat': 34.1459541, 'lng': -118.14781}",Ixtapa Cantina & Lounge,ChIJ-zy203HDwoARgNC1NKiPOZM,,2,4,{},CA,"High-energy Mexican eatery & gathering place, including a bar with guest DJs & a dance floor.","This popular spot’s happy hour is from 4-7pm daily, and has such specials as $2 tacos, $3 bacon wrapped hot dogs, $3 nachos, and $4 tostadas. There’s also an array of drink specials as well., In Ixtapa 1/16–1/26?  Want a trip that will take u beyond the basic touristy spots? ‘VACATION CRASHERS’, a new TV series,will put the adventure back into your trip. Contact vacationcrashers@yahoo.com, The happy hour is 4pm - 7pm Velasco is usually the bartender","night_club, bar, point_of_interest, establishment",http://www.cantinaixtapa.com/
"XM26+HF, Inglewood, CA 90305, USA",Stadium,10051,Los Angeles,,1739,582b29a3b39f964d7566fe10,,ChIJ0SNQJgC3woARXCAsY3z2ewY,,False,2025-05-11 23:54:49.648942+00:00,33.9517096,-118.3385843,"{'lat': 33.9517096, 'lng': -118.3385843}",SoFi Member Lounge,ChIJ0SNQJgC3woARXCAsY3z2ewY,,,4.7,{},CA,A Stadium in downtown LA.,"Beautiful stadium, any seat is a great seat, Beautiful brand new stadium BUT - bizarrely LOUSY food, disorganized workers not knowing where anything is or how to get anywhere, parking a mess. I mean seriously??, It’s new, still working out some stuff. The video board is a site to see. Pictures and photos do not do it justice","night_club, bar, point_of_interest, establishment",
"112 N San Fernando Blvd, Burbank, CA 91502, USA","Dining and Drinking, Lounge, Hookah Bar","13000, 13012, 13016",Los Angeles,,85,623bf9c42267bf2868732267,"{'tuesday': '5:00\u202fPM\u2009–\u200912:00\u202fAM', 'monday': 'Closed', 'sunday': '5:00\u202fPM\u2009–\u200912:00\u202fAM', 'friday': '7:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '7:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '5:00\u202fPM\u2009–\u200912:00\u202fAM', 'thursday': '5:00\u202fPM\u2009–\u200912:00\u202fAM'}",ChIJ0YwoW5SVwoAR_njzNiWF2M0,https://www.instagram.com/terraceinla/,False,2025-05-11 23:59:53.027192+00:00,34.1811637,-118.3088073,"{'lat': 34.1811637, 'lng': -118.3088073}",Terrace Restaurant & Lounge,ChIJ0YwoW5SVwoAR_njzNiWF2M0,,,4.3,{},CA,"A Dining and Drinking, Lounge, and more in downtown LA.",,"restaurant, bar, food, point_of_interest, establishment",https://terracerestaurantandlounge.com/
"3319 Wilshire Blvd, Los Angeles, CA 90010, USA","Night Club, Gay Bar","10032, 13011",Los Angeles,,0,5a9ba29a1987ec4dbd4759b0,,ChIJ0eCoaXzHwoARjmGpSLjqhDg,,False,,34.0620233,-118.2948845,"{'lat': 34.0620233, 'lng': -118.2948845}",Arena Night Club,ChIJ0eCoaXzHwoARjmGpSLjqhDg,,,3.1,{},CA,"Lively nightclub & lounge offering hip-hop & R&B nights, bottle service & karaoke rooms.",,"night_club, point_of_interest, establishment",
"245 Main St, Los Angeles, CA 90012, USA","Gay Bar, Wine Bar, Latin American Restaurant","13025, 13011, 13297",Los Angeles,,445,4c36d1c80a71c9b654d03dc9,"{'tuesday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'sunday': '4:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '9:00\u202fPM\u2009–\u20092:00\u202fAM'}",ChIJ0eVabUnGwoARp-JU3rlMD8s,,False,2025-05-11 23:49:57.584470+00:00,34.0502685,-118.2454215,"{'lat': 34.0502685, 'lng': -118.2454215}",The New Jalisco Bar,ChIJ0eVabUnGwoARp-JU3rlMD8s,,1,3.8,{},CA,"A Gay Bar, Wine Bar, and more in downtown LA.","Super cheap Tecates and tequila shots are this dive’s specialty but the party really begins at 10:30 p.m. nightly when LA’s best Latinx drag queens hit the stage., Best micheladas in town! The employees are the best! Everything about the new jalisco is the bomb!, What's love got to do with it...","night_club, bar, point_of_interest, establishment",
"120 S Los Angeles St, Los Angeles, CA 90012, USA","Bar, Gastropub, New American Restaurant","13057, 13314, 13003",Los Angeles,,456,5277ebd911d2946ff59e0605,"{'tuesday': '6:00\u2009–\u200911:00\u202fAM, 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'monday': '6:00\u2009–\u200911:00\u202fAM, 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'sunday': '6:00\u2009–\u200911:00\u202fAM, 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'friday': '6:00\u2009–\u200911:00\u202fAM, 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'saturday': '6:00\u2009–\u200911:00\u202fAM, 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'wednesday': '6:00\u2009–\u200911:00\u202fAM, 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'thursday': '6:00\u2009–\u200911:00\u202fAM, 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM'}",ChIJ1-pP9EjGwoARJ96IwETSTDE,,False,2025-05-11 23:50:03.571359+00:00,34.050996,-118.2424459,"{'lat': 34.050996, 'lng': -118.2424459}",Justice Urban Tavern,ChIJ1-pP9EjGwoARJ96IwETSTDE,,2,4,{},CA,Smart gastropub teaming locavore chow with craft beers & creative cocktails in a bright setting.,"Kool ambiance in Little Tokyo outdoor seating and a low key lounge spot. You can get your groove on or relax & enjoy the music & vibes., So not like Lil Tokyo, southern music and 14 or so taps, Happy Hour from 3-7pm, but open for breakfast at 6am! Whhhhaaaa?, Wait staff need to get educated on craft beer since this is a restaurant specialty; went during happy hour with a group of 8 & several questions about the differences among beers went unanswered.","bar, restaurant, food, point_of_interest, establishment",
"336 S Hill St, Los Angeles, CA 90013, USA","Night Club, Dive Bar","10032, 13010",Los Angeles,,767,49bac961f964a520a9531fe3,"{'tuesday': '11:00\u202fAM\u2009–\u20092:00\u202fAM', 'monday': '11:00\u202fAM\u2009–\u20092:00\u202fAM', 'sunday': '10:00\u202fAM\u2009–\u20092:00\u202fAM', 'friday': '11:00\u202fAM\u2009–\u20092:00\u202fAM', 'saturday': '10:00\u202fAM\u2009–\u20092:00\u202fAM', 'wednesday': '11:00\u202fAM\u2009–\u20092:00\u202fAM', 'thursday': '11:00\u202fAM\u2009–\u20092:00\u202fAM'}",ChIJ10BYf0vGwoARdzJAvD5BjaY,https://www.instagram.com/lacitabar/,False,2025-05-11 23:49:25.303499+00:00,34.05077199999999,-118.2497017,"{'lat': 34.05077199999999, 'lng': -118.2497017}",La Cita Bar,ChIJ10BYf0vGwoARdzJAvD5BjaY,,1,4.1,{},CA,"This traditional Latin dance club opens the floor to a young, hip crowd for DJ-driven parties.","Love this place for dancing! Music & energy 👌. There's also a chill patio outside with Downtown high rises around you. Saturday night got crowded but was a blast, There's a party here almost every day. Our favorites are Mustache Mondays and special Thursday events like Soundscape., This place is bomb. Cool, chill vibe. Go to the back yard bar, one of the bartenders has a specialty called Tecaterita- a marg w tecate. Sounds weird but bro knows wussup, its the best!!","bar, night_club, point_of_interest, establishment",http://www.lacitabar.com/
"575 S Fairfax Ave, Los Angeles, CA 90036, USA","Pub, Pub",13018,Los Angeles,,384,41706480f964a520a81d1fe3,"{'tuesday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'sunday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '11:00\u202fAM\u2009–\u20092:00\u202fAM', 'saturday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '11:00\u202fAM\u2009–\u20092:00\u202fAM'}",ChIJ12CLlzu5woARmzIXICPof0A,https://www.instagram.com/mollymalonesla,False,2025-05-11 23:45:07.841306+00:00,34.065275,-118.3616833,"{'lat': 34.065275, 'lng': -118.3616833}",Molly Malone's Irish Pub,ChIJ12CLlzu5woARmzIXICPof0A,,1,4.3,{},CA,"Well-known haunt with a homey vibe offering draft brews, pub grub & regular live music.","Flogging Molly got their start here. You could find them here every Monday night. The band got the name because ""every Monday we felt like we were flogging the place to death"" birthing their name., Very nice! Darts. The bar & stage area are separate, which is nice if you want to chat without it being loud. Drink prices were around $8. Food is bomb!, Ernesto and Sasha are the greats bartenders and people in the universe!If you don't tip them well , you are a life ruiner! PS check out SO&SO 8-4-10 here reverbnation.com/whoissoandso","bar, restaurant, food, point_of_interest, establishment",http://www.mollymalonesla.com/
